Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Nicaragua,NIC,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,66.9420991365654,67.9273254225164,68.9111598605716,69.8936029746752,70.8744369725595,71.8538830119437,72.8319443096933,72.874822150898,72.920573308785,72.9693990502626,73.0210976490331,..,..
Nicaragua,NIC,Population density (people per sq. km of land area),EN.POP.DNST,48.6599135781951,49.381361143427,50.113071297989,50.8507478810038,51.5927871032076,52.3400199434934,53.0931942828652,53.8518530829317,54.6138690377264,55.3758018946319,56.1400614924381,56.9265414658468,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.9,91.7,90.9,91.1,91.5,91.8,93.3,94.2,91.7,92.7,96.8,97.7,98.6
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3887.56178973155,4021.23739523251,4175.99975692294,4459.98713877892,4621.4955229873,4912.61272933351,4869.34818869705,4772.05540508598,4660.24262821026,4787.39752957686,4181.93157944865,4823.4817941724,..
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,242.6184082,251.19102478,246.298172,261.2244873,296.24938965,285.84985352,292.99127197,281.6338501,287.60293579,298.96051025,279.65802002,310.19500732,..
Belize,BLZ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,57.8,57.402,58.258,58.678,59.752,59.811,..,63.414,..,..,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5399.06209583265,5519.3390084833,5635.52152550234,5865.47090174488,6031.54840210944,6098.60007958976,6099.95710191497,6049.3919477765,6001.02426184093,6134.21523305713,5185.1580697602,6060.96822340845,6984.21695968163
Belize,BLZ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,18.117326676852,18.7312879997452,15.8361231090872,15.8024758785023,15.9097246878581,14.8522579921103,15.7358310020257,14.4018982892485,13.9379729964047,14.3112994004665,16.5969788029169,17.2292950839483,15.561640210652
Belize,BLZ,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,87.71,83.753,85.712,85.64,84.545,82.79,..,85.427,..,..,..
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,128753,133836,138977,144234,151065,156821,162580,166748,170728,174493,172620,177472,185068
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,70.47,70.962
Belize,BLZ,Net migration,SM.POP.NETM,1644,1583,1529,1504,1452,1363,1283,1222,1185,1164,0,577,600
Belize,BLZ,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,85.6277083290934,85.9422379234594,86.2578541142756,86.5747585957408,86.8930450171415,87.2129807113852,87.534777016108,87.8585217818837,88.184416079473,88.1985036524971,88.2142766873075,88.23173186587,88.2510779331487
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,14.121262604121,14.4470846120123,14.7768084173608,15.1112669881631,15.446514686541,15.7768960982025,16.1031565103025,16.4266988163086,16.7499342393687,17.0580885576502,17.3135028496274,17.537527400263,..
